,Allemand,Français,Difficulté
0,achtzig,quatre-vingts,2
1,abbiegen,tourner,2
2,aber,mais,2
3,acht,huit,2
4,"achtzehn, neunzehn","dix-huit, dix-neuf",2
5,alles,tout,1
6,Alles klar?,Tout va bien ?,2
7,altmodisch,ringard(e),2
8,arbeiten,travailler,2
9,arbeitslos,sans emploi,0
10,Auf Wiedersehen!,Au revoir !,1
11,bestellen,commander,2
12,besuchen,visiter/rendre visite,2
13,bis,jusqu'à / vers,2
14,bis,jusqu'à/vers,1
15,Bis bald!,À bientôt !,0
16,Bitte,S’il te plaît/S’il vous plaît,2
17,das Badezimmer,la salle de bains,2
18,das Bier,la bière,2
19,das Brot,le pain,2
20,das Brot,le pain,2
21,das Café,le café,1
22,das da / das hier,celui-là (celle-là)/celui-ci (celle-ci),2
23,das Einfamilienhaus,la maison,2
24,das Ei / die Eier,l’œuf/les œufs,2
25,das Fischgeschäft,la poissonnerie,2
26,das Fleisch,la viande,2
27,das Gemüse,les légumes,2
28,das Gemüse,les légumes,0
29,das Glas,le verre,2
30,das Hauptgericht,le plat principal,2
31,das Haus,la maison,2
32,das Kilo,le kilo,2
33,das Knäckebrot,le pain croquant suédois,2
34,das Krankenhaus,l'hôpital,2
35,"Das macht 3,20 Euro, bitte.","Cela fait 3,20 euros, s’il vous plaît.",2
36,das Museum,le musée,2
37,das Müsli,les céréales,2
38,das Obst,le fruit,2
39,das Obst,le fruit,2
40,das Restaurant,le restaurant,2
41,das Restaurant,le restaurant,2
42,das Salz,le sel,2
43,das Schlafzimmer,la chambre,2
44,das Taxi,le taxi,2
45,das Wasser,l'eau,2
46,das Wasser,l'eau,2
47,das Wohnzimmer,le salon,2
48,das Zimmer,la pièce,1
49,das Öl,l'huile,2
50,dein Bruder,ton frère,2
51,deine Schwester,ta sœur,2
52,der Aufschnitt,le buffet froid,2
53,der Bahnhof,la gare,1
54,der Bahnhof,la gare,2
55,der Balkon,le balcon,2
56,der Barkeeper / die Barkeeperin,le barman/la barmaid,2
57,der Bruder / die Schwester,le frère/la sœur,1
58,der Bus,le bus,2
59,der Cousin,le cousin,2
60,der Erzieher / die Erzieherin,l’enseignant/l’enseignante en maternelle,1
61,der Fisch,le poisson,2
62,der Freund,"l’ami, le petit ami",1
63,der Garten,le jardin,2
64,der Großvater / die Großmutter,le grand-père/la grand-mère,2
65,"der Hamster, die Hamster","le hamster, les hamsters",2
66,"der Hund, die Hunde","le chien, les chiens",2
67,der Informatiker / die Informatikerin,l’informaticien/l’informaticienne,2
68,der Ingenieur / die Ingenieurin,l’ingénieur/l’ingénieure,2
69,der Job,l’emploi,2
70,der Kaffee,le café,2
71,der Kaffeeklatsch,une discussion informelle autour d’un café,1
72,der Kellner / die Kellnerin,le serveur/la serveuse,2
73,der Kopf,la tête,2
74,der Krankenpfleger / die Krankenpflegerin,l’infirmier/l’infirmière,2
75,der Käse,le fromage,2
76,der Käse,le fromage,2
77,der Lehrer / die Lehrerin,l’enseignant/l’enseignante,2
78,der Mitbewohner / die Mitbewohnerin,Le/la colocataire,2
79,der Nachbar / die Nachbarin,le voisin / la voisine,2
80,der Nachtisch,le dessert,2
81,der Obst- und Gemüseladen,le magasin de fruits et légumes,2
82,der Onkel,l’oncle,2
83,der Psychologe / die Psychologin,le psychologue/la psychologue,2
84,der Reis,le riz,2
85,der Saft,le jus de fruits,2
86,der Supermarkt,le supermarché,2
87,der Tisch,la table,2
88,der Vater,le père,1
89,der Vater / die Mutter,le père/la mère,1
90,der Verkäufer / die Verkäuferin,le vendeur/la vendeuse,2
91,der Vermieter / die Vermieterin,le propriétaire / la propriétaire,2
92,"der Vogel, die Vögel","l’oiseau, les oiseaux",2
93,der Wein,le vin,2
94,der Zucker,le sucre,2
95,die Adresse,l'adresse,2
96,die Apfelschorle,le spritzer à la pomme (jus de pomme et eau gazeuse),2
97,die Apotheke,la pharmacie,2
98,die Arbeit,le travail/l’emploi,2
99,die Bahn,le train,2
100,die Bank,la banque,2
101,die Bar,le bar,1
102,die Butter,le beurre,0
103,die Bäckerei,la boulangerie,2
104,die Bäckerei,la boulangerie,2
105,die Cousine,la cousine,2
106,die Disco,la discothèque,2
107,die Dose,"la canette, la boîte",1
108,die Eltern,les parents,1
109,die Enkelkinder,les petits-enfants,2
110,die Fahrkarte,le billet,2
111,die Familie,la famille,2
112,die Flasche,la bouteille,2
113,die Flasche,la bouteille,2
114,die Fleischerei,la boucherie,2
115,die Fleischerei / die Metzgerei,la boucherie,2
116,die Freundin,"l’amie, la petite amie",2
117,die Geschwister (Plural),les frères et sœurs,2
118,die Großeltern,les grands-parents,2
119,die Haltestelle,l'arrêt,2
120,die Hausnummer,le numéro de la maison,2
121,die Katze,le chat,2
122,"die Katze, der Kater","la chatte, le chat",2
123,die Kinder,les enfants,2
124,die Küche,la cuisine,2
125,die Miete,le loyer,2
126,die Milch,le lait,2
127,die Milch,le lait,1
128,die Milchprodukte,les produits laitiers,2
129,die Nudeln,les pâtes,2
130,die Nudeln,les pâtes,2
131,die Post,la poste,2
132,die Postleitzahl,le code postal,2
133,die Rechnung,la note,2
134,die S-Bahn,le métro aérien,2
135,die Speisekarte,la carte,2
136,die Stadt,la ville,2
137,die Straße,la rue,2
138,die Straße,la rue,2
139,die Straßenbahn,le tramway,2
140,die Tante,la tante,2
141,die Terrasse,la terrasse,2
142,die Tochter,la fille,2
143,die U-Bahn,le métro,2
144,die Vorspeise,les entrées,0
145,die Wohngemeinschaft / WG,la colocation,2
146,die Wohnung,l'appartement,2
147,die Wohnung,l'appartement,2
148,die Wurst,la charcuterie,2
149,dort,là-bas,2
150,drei,trois,2
151,"dreizehn, vierzehn, fünfzehn","treize, quatorze, quinze",2
152,dreißig,trente,2
153,du bist,tu es,1
154,du hast,tu as,2
155,durch,par/à travers,2
156,durch,par/à travers,2
157,ein bisschen,un petit peu,2
158,ein bisschen,un peu,2
159,"Ein Stück Kuchen, bitte.","Une part de gâteau, s’il vous plaît.",2
160,"Einen Kaffee, bitte.","Un café, s’il vous plaît.",2
161,einhundert,cent,1
162,eins,un,2
163,elf,onze,2
164,Entschuldigung!,Désolé! / Excusez-moi !,2
165,Entschuldigung!,Excusez-moi !,1
166,er ist,il est,2
167,Er liebt mich.,Il m’aime.,2
168,Er liebt sie.,Il l’aime.,2
169,Es geht nur bar.,Les paiements se font uniquement en espèces.,2
170,Es gibt...,Il y a...,0
171,es ist,il/elle est (neutre),2
172,Es tut mir leid.,Je suis désolé./Je suis désolée.,2
173,essen,manger,2
174,Essen bestellen,commander un repas,1
175,Essen gehen,manger à l’extérieur,1
176,Essen machen,préparer à manger,2
177,etwas,du/de la,2
178,euer Onkel,votre oncle,2
179,eure Tante,votre tante,2
180,extrem,extrêmement,2
181,fahren,conduire,2
182,Frau,Madame,1
183,Freut mich auch!,Enchanté aussi !,0
184,Freut mich!,Enchanté/e !,2
185,fünf,cinq,2
186,fünfzig,cinquante,2
187,für,pour,1
188,für,pour,1
189,gegen,contre,2
190,Gehen wir...,Allons...,2
191,genug,assez,2
192,geradeaus,tout droit,2
193,geradeaus,tout droit,2
194,geschlossen,fermé,2
195,gesund,en bonne santé,1
196,groß,grand/grande,1
197,gut drauf,de bonne humeur,2
198,"Gut, danke.","Bien, merci.",2
199,Guten Tag!,Bonjour (formel),2
200,günstig,bon rapport qualité-prix,2
201,Haben Sie ...?,Avez-vous... ?,2
202,Hallo!,Salut !,0
203,Hast du Durst?,As-tu soif ?,2
204,Hast du Geschwister?,As-tu des frères et sœurs ?,2
205,Hast du Hunger?,Tu as faim ?,2
206,Haustiere,animaux de compagnie,2
207,Herr,Monsieur,2
208,hier,ici,2
209,hip,branché,2
210,hoch,haut / haute,2
211,Ich,Je,1
212,Ich arbeite bei...,Je travaille pour...,2
213,ich bin,je suis,1
214,Ich bin arbeitslos.,Je suis sans emploi.,2
215,Ich bin Einzelkind.,Je suis fille unique.,2
216,Ich brauche...,J’ai besoin de...,2
217,Ich esse alles.,Je mange de tout.,1
218,Ich esse gern Pizza.,J’aime manger des pizzas.,1
219,Ich esse kein Fleisch.,Je ne mange pas de viande.,2
220,Ich esse keine Milchprodukte.,Je ne consomme pas de produits laitiers.,2
221,Ich gehe gern...,J’aime bien aller...,2
222,Ich gehe lieber...,Je préfère aller...,2
223,ich habe,J’ai,2
224,Ich habe drei Brüder.,J’ai trois frères.,2
225,Ich habe Durst.,J’ai soif.,2
226,Ich habe eine Schwester.,J’ai une sœur.,2
227,Ich habe einen Bruder.,J’ai un frère.,1
228,Ich habe Hunger.,J’ai faim.,2
229,Ich habe keine Geschwister.,Je n’ai pas de frères et sœurs.,2
230,Ich habe Lust auf ...,J’ai envie de...,2
231,Ich habe zwei Schwestern.,J’ai deux sœurs.,2
232,Ich komme aus den USA.,Je viens des États-Unis.,2
233,Ich komme aus der Türkei.,Je viens de Turquie.,2
234,Ich komme aus Deutschland.,Je viens d'Allemagne.,2
235,Ich liebe dich!,Je t’aime !,1
236,Ich liebe Hunde.,J’adore les chiens.,2
237,Ich mag Katzen.,J’aime les chats.,2
238,Ich mag meinen Bruder nicht.,Je n’aime pas mon frère.,2
239,Ich möchte...,"J’aimerais, je voudrais...",2
240,Ich spreche Deutsch.,Je parle allemand.,2
241,Ich spreche Deutsch.,Je parle allemand.,2
242,Ich spreche ein bisschen Deutsch.,Je parle un peu allemand.,2
243,Ich spreche Spanisch.,Je parle espagnol.,2
244,Ich suche Arbeit als...,Je cherche un emploi de...,2
245,Ich wohne in Brasilien.,Je vis au Brésil.,2
246,Ich wohne in England.,Je vis en Angleterre.,2
247,Ich wohne in Spanien.,J’habite en Espagne.,2
248,Ich wohne in...,J'habite à...,2
249,Ihnen auch!,Vous aussi !,2
250,ihr,vous (pluriel),2
251,ihr habt,vous avez,2
252,ihr seid,vous êtes (pluriel),1
253,ihr studiert,vous (pluriel) étudiez,2
254,ihr Vater,son père,2
255,ihre Mutter,sa mère,2
256,im Stress,stressé,2
257,in der Nähe von,près de,1
258,Ja,Oui,2
259,Kann ich mit Karte zahlen?,Est-ce que je peux payer par carte ?,2
260,kaufen,acheter,2
261,Kein Problem.,Pas de problème.,2
262,klein,petit/petite,1
263,krank,malade,1
264,kurz,petit / petite,2
265,lang,long / longue,2
266,laufen,marcher,0
267,laufen,marcher,1
268,laufen,marcher,1
269,Leider nicht!,J’ai bien peur que non !,2
270,lesen,lire,2
271,lieber als,plutôt que,2
272,Liebt ihr Katzen?,Adorez-vous les chats ?,2
273,links,gauche,2
274,Machen Sie 20 Euro.,Arrondissez à 20 euros.,0
275,Magst du Kaffee?,Aimes-tu le café ?,2
276,Mein Großvater ist langweilig.,Mon grand-père est ennuyeux.,2
277,Mein Großvater ist lustig.,Mon grand-père est amusant.,2
278,mein Vater,mon père,2
279,Meine Kinder sind freundlich.,Mes enfants sont chaleureux.,2
280,meine Mutter,ma mère,2
281,Meine Tochter ist arrogant.,Ma fille est arrogante.,2
282,Mir geht's gut.,Ça va bien.,2
283,Mir geht’s nicht so gut.,Ça ne va pas très bien.,2
284,Mir geht’s schlecht.,Ça va mal.,2
285,Mir geht’s super!,Ça va super bien !,2
286,Mit Milch und Zucker?,Avec du lait et du sucre ?,1
287,mit Sprudel / ohne Sprudel,gazeuse/plate,2
288,Moin (moin)!,Bonjour ! (Allemagne du nord),2
289,Möchtest du auch...?,Voudrais-tu également... ?,0
290,Möchtest du in ein Café gehen?,Voudrais-tu aller dans un café ?,2
291,mögen,aimer/souhaiter,2
292,müde,fatiguée,2
293,nah,près / proche,1
294,Nein,Non,2
295,"Nein, danke.",Non merci.,2
296,neun,neuf,2
297,neunzig,quatre-vingt-dix,0
298,nichts,ne ... rien,1
299,niedrig,bas / basse,2
300,,zéro,2
301,Oh nein!,Oh non !,2
302,ohne,sans,2
303,pflegen,soigner,2
304,Prost!,Santé !,2
305,rechts,droite,2
306,rechts / links,droite / gauche,2
307,relativ,plutôt,2
308,reservieren,réserver,2
309,schmal,étroit,2
310,Schönen Tag!,Bonne journée !,2
311,Schönes Wochenende!,Bon week-end!,2
312,sechs,six,1
313,"sechzehn, siebzehn","seize, dix-sept",2
314,sechzig,soixante,2
315,sehr,très,1
316,sein Bruder,son frère,2
317,seine Schwester,sa sœur,2
318,servieren,servir,2
319,Servus!,Bonjour !/Au revoir ! (Autriche et Allemagne du sud),2
320,sie,ils/elles,1
321,sie haben,ils ont,2
322,sie ist,elle est,2
323,Sie liebt ihn.,Elle l’aime.,2
324,Sie mögen Bier.,Ils aiment la bière.,2
325,sie sind,ils/elles sont,2
326,sie studieren,ils/elles étudient,2
327,sieben,sept,2
328,siebzig,soixante-dix,2
329,sitzen,s'asseoir,2
330,Sonst noch etwas?,Autre chose ?,2
331,Sprichst du Englisch?,Tu parles anglais ?,2
332,Stimmt so.,Gardez la monnaie.,0
333,studieren,étudier (à l’université),2
334,suchen,chercher,2
335,teuer,cher,2
336,trinken,boire,1
337,Tschüss!,Au revoir !,2
338,Tschüss!,Au revoir !,2
339,um,à / vers,2
340,um,à/vers,2
341,um,à / vers,2
342,und,et,2
343,unser Opa,notre grand-père,2
344,unsere Oma,notre grand-mère,2
345,unterrichten,enseigner,2
346,verkaufen,vendre,1
347,viel,beaucoup,2
348,vier,quatre,2
349,vierzig,quarante,2
350,vor / hinter,devant / derrière,2
351,Was bist du von Beruf?,Que fais-tu dans la vie ?,2
352,Was darf es sein?,Qu’est-ce que je peux vous servir ?,2
353,Was isst du gern?,Qu’aimes-tu manger ?,2
354,Was isst du?,Que manges-tu ?,2
355,Was ist das?,Qu’est-ce que cela ?,2
356,Was macht das?,Combien est-ce ?,2
357,Was sind Sie von Beruf?,Que faites-vous dans la vie ? (formel),1
358,weit,loin,2
359,weit weg von,loin de,2
360,Weißwurst,saucisse blanche,2
361,Welche Sprachen sprichst du?,Quelles langues parles-tu ?,2
362,wenig,un peu,2
363,wenige,peu,2
364,Wie geht’s?,Comment ça va ?,0
365,Wie heißen Sie?,Comment vous appelez-vous ? (formel),2
366,Wie heißt das auf Deutsch?,Comment est-ce que ça s’appelle en allemand ?,0
367,Wie heißt du?,Comment t’appelles-tu ?,2
368,Wie viel kostet das?,Combien cela coûte-t-il ?,1
369,Wie viel kostet ein Kaffee?,Combien ça coute pour un café ?,0
370,Wie viel kostet eine Apfelschorle?,Combien ça coûte pour une Apfelschorle ?,2
371,wir,nous,2
372,wir haben,nous avons,2
373,Wir lieben Hunde.,Nous adorons les chiens.,2
374,Wir mögen Hunde.,Nous aimons les chiens.,2
375,wir sind,nous sommes,2
376,Wo finde ich ...?,Où puis-je trouver... ?,0
377,Wo ist ... ?,Où se trouve ... ?,2
378,Wo ist …?,Où est... ?,2
379,Wo wohnen Sie?,Où habitez-vous ? (formel),2
380,Wo wohnst du?,Où habites-tu?,1
381,Woher kommen Sie?,D’où venez-vous ? (formel),2
382,Woher kommst du?,D’où viens-tu ?,2
383,wohnen,vivre / habiter,2
384,wollen,vouloir,2
385,"Zahlen, bitte!",L’addition s’il vous plaît !,2
386,"Zahlen, bitte!","Je voudrais payer, s’il vous plaît !",2
387,zehn,dix,2
388,Zum Essen?,Que voulez-vous manger ?,2
389,Zum Trinken?,Que voulez-vous boire ?,0
390,Zum Wohl!,Santé !,2
391,zwanzig,vingt,2
392,zwei,deux,1
393,zwölf,douze,2
394,öffnen,ouvrir,2
395,überqueren,traverser,2
