ID,Allemand,Français,Difficulté
0,achtzig,quatre-vingts,0
1,abbiegen,tourner,0
2,aber,mais,0
3,acht,huit,0
4,"achtzehn, neunzehn","dix-huit, dix-neuf",0
5,Alles klar?,Tout va bien ?,0
6,altmodisch,ringard(e),0
7,arbeiten,travailler,0
8,arbeitslos,sans emploi,0
9,Auf Wiedersehen!,Au revoir !,0
10,besuchen,visiter/rendre visite,0
11,bis,jusqu'à / vers,1
12,bis,jusqu'à/vers,0
13,Bis bald!,À bientôt !,0
14,Bitte,S’il te plaît/S’il vous plaît,0
15,das Badezimmer,la salle de bains,0
16,das Brot,le pain,0
17,das Café,le café,0
18,das da / das hier,celui-là (celle-là)/celui-ci (celle-ci),0
19,das Einfamilienhaus,la maison,0
20,das Ei / die Eier,l’œuf/les œufs,0
21,das Fleisch,la viande,0
22,das Gemüse,les légumes,0
23,das Haus,la maison,0
24,das Kilo,le kilo,0
25,das Knäckebrot,le pain croquant suédois,0
26,das Krankenhaus,l'hôpital,0
27,"Das macht 3,20 Euro, bitte.","Cela fait 3,20 euros, s’il vous plaît.",0
28,das Museum,le musée,0
29,das Obst,le fruit,0
30,das Restaurant,le restaurant,0
31,das Schlafzimmer,la chambre,0
32,das Taxi,le taxi,0
33,das Wasser,l'eau,0
34,das Wohnzimmer,le salon,0
35,das Zimmer,la pièce,0
36,dein Bruder,ton frère,0
37,deine Schwester,ta sœur,0
38,der Bahnhof,la gare,0
39,der Bahnhof,la gare,0
40,der Balkon,le balcon,0
41,der Bruder / die Schwester,le frère/la sœur,0
42,der Bus,le bus,0
43,der Cousin,le cousin,0
44,der Erzieher / die Erzieherin,l’enseignant/l’enseignante en maternelle,0
45,der Fisch,le poisson,0
46,der Freund,"l’ami, le petit ami",0
47,der Garten,le jardin,0
48,der Großvater / die Großmutter,le grand-père/la grand-mère,0
49,"der Hamster, die Hamster","le hamster, les hamsters",0
50,"der Hund, die Hunde","le chien, les chiens",0
51,der Informatiker / die Informatikerin,l’informaticien/l’informaticienne,0
52,der Ingenieur / die Ingenieurin,l’ingénieur/l’ingénieure,0
53,der Job,l’emploi,0
54,der Kaffee,le café,0
55,der Kaffeeklatsch,une discussion informelle autour d’un café,0
56,der Kellner / die Kellnerin,le serveur/la serveuse,0
57,der Kopf,la tête,0
58,der Krankenpfleger / die Krankenpflegerin,l’infirmier/l’infirmière,0
59,der Käse,le fromage,0
60,der Lehrer / die Lehrerin,l’enseignant/l’enseignante,0
61,der Mitbewohner / die Mitbewohnerin,Le/la colocataire,2
62,der Nachbar / die Nachbarin,le voisin / la voisine,0
63,der Onkel,l’oncle,0
64,der Psychologe / die Psychologin,le psychologue/la psychologue,0
65,der Supermarkt,le supermarché,0
66,der Vater,le père,0
67,der Vater / die Mutter,le père/la mère,0
68,der Verkäufer / die Verkäuferin,le vendeur/la vendeuse,0
69,der Vermieter / die Vermieterin,le propriétaire / la propriétaire,0
70,"der Vogel, die Vögel","l’oiseau, les oiseaux",0
71,die Adresse,l'adresse,0
72,die Apfelschorle,le spritzer à la pomme (jus de pomme et eau gazeuse),0
73,die Apotheke,la pharmacie,0
74,die Arbeit,le travail/l’emploi,0
75,die Bahn,le train,0
76,die Bank,la banque,0
77,die Bar,le bar,0
78,die Butter,le beurre,0
79,die Bäckerei,la boulangerie,0
80,die Cousine,la cousine,0
81,die Disco,la discothèque,0
82,die Dose,"la canette, la boîte",0
83,die Eltern,les parents,0
84,die Enkelkinder,les petits-enfants,0
85,die Fahrkarte,le billet,0
86,die Familie,la famille,0
87,die Flasche,la bouteille,0
88,die Fleischerei / die Metzgerei,la boucherie,0
89,die Freundin,"l’amie, la petite amie",0
90,die Geschwister (Plural),les frères et sœurs,0
91,die Großeltern,les grands-parents,0
92,die Haltestelle,l'arrêt,0
93,die Hausnummer,le numéro de la maison,0
94,die Katze,le chat,0
95,"die Katze, der Kater","la chatte, le chat",0
96,die Kinder,les enfants,0
97,die Küche,la cuisine,0
98,die Miete,le loyer,0
99,die Milch,le lait,0
100,die Milchprodukte,les produits laitiers,0
101,die Nudeln,les pâtes,0
102,die Post,la poste,0
103,die Postleitzahl,le code postal,0
104,die S-Bahn,le métro aérien,0
105,die Stadt,la ville,0
106,die Straße,la rue,0
107,die Straße,la rue,0
108,die Straßenbahn,le tramway,0
109,die Tante,la tante,0
110,die Terrasse,la terrasse,0
111,die Tochter,la fille,0
112,die U-Bahn,le métro,0
113,die Wohngemeinschaft / WG,la colocation,0
114,die Wohnung,l'appartement,0
115,die Wohnung,l'appartement,0
116,dort,là-bas,0
117,drei,trois,0
118,"dreizehn, vierzehn, fünfzehn","treize, quatorze, quinze",0
119,dreißig,trente,0
120,du bist,tu es,0
121,du hast,tu as,0
122,durch,par/à travers,0
123,durch,par/à travers,1
124,ein bisschen,un peu,0
125,"Ein Stück Kuchen, bitte.","Une part de gâteau, s’il vous plaît.",0
126,"Einen Kaffee, bitte.","Un café, s’il vous plaît.",0
127,einhundert,cent,0
128,eins,un,0
129,elf,onze,0
130,Entschuldigung!,Désolé! / Excusez-moi !,0
131,Entschuldigung!,Excusez-moi !,0
132,er ist,il est,0
133,Er liebt mich.,Il m’aime.,0
134,Er liebt sie.,Il l’aime.,0
135,Es geht nur bar.,Les paiements se font uniquement en espèces.,0
136,Es gibt...,Il y a...,0
137,es ist,il/elle est (neutre),0
138,Es tut mir leid.,Je suis désolé./Je suis désolée.,0
139,Essen bestellen,commander un repas,0
140,Essen gehen,manger à l’extérieur,0
141,Essen machen,préparer à manger,0
142,euer Onkel,votre oncle,0
143,eure Tante,votre tante,0
144,extrem,extrêmement,0
145,Frau,Madame,0
146,Freut mich auch!,Enchanté aussi !,0
147,Freut mich!,Enchanté/e !,0
148,fünf,cinq,0
149,fünfzig,cinquante,0
150,für,pour,0
151,für,pour,0
152,gegen,contre,0
153,Gehen wir...,Allons...,0
154,geradeaus,tout droit,0
155,geradeaus,tout droit,0
156,gesund,en bonne santé,0
157,groß,grand/grande,0
158,gut drauf,de bonne humeur,0
159,"Gut, danke.","Bien, merci.",0
160,Guten Tag!,Bonjour (formel),0
161,günstig,bon rapport qualité-prix,0
162,Haben Sie ...?,Avez-vous... ?,0
163,Hallo!,Salut !,0
164,Hast du Durst?,As-tu soif ?,0
165,Hast du Geschwister?,As-tu des frères et sœurs ?,0
166,Hast du Hunger?,Tu as faim ?,0
167,Haustiere,animaux de compagnie,0
168,Herr,Monsieur,0
169,hier,ici,0
170,hip,branché,0
171,hoch,haut / haute,0
172,Ich,Je,0
173,Ich arbeite bei...,Je travaille pour...,0
174,ich bin,je suis,0
175,Ich bin arbeitslos.,Je suis sans emploi.,0
176,Ich bin Einzelkind.,Je suis fille unique.,0
177,Ich brauche...,J’ai besoin de...,0
178,Ich esse alles.,Je mange de tout.,0
179,Ich esse gern Pizza.,J’aime manger des pizzas.,0
180,Ich esse kein Fleisch.,Je ne mange pas de viande.,0
181,Ich esse keine Milchprodukte.,Je ne consomme pas de produits laitiers.,0
182,Ich gehe gern...,J’aime bien aller...,0
183,Ich gehe lieber...,Je préfère aller...,0
184,ich habe,J’ai,0
185,Ich habe drei Brüder.,J’ai trois frères.,0
186,Ich habe Durst.,J’ai soif.,0
187,Ich habe eine Schwester.,J’ai une sœur.,0
188,Ich habe einen Bruder.,J’ai un frère.,0
189,Ich habe Hunger.,J’ai faim.,0
190,Ich habe keine Geschwister.,Je n’ai pas de frères et sœurs.,0
191,Ich habe Lust auf ...,J’ai envie de...,0
192,Ich habe zwei Schwestern.,J’ai deux sœurs.,0
193,Ich komme aus den USA.,Je viens des États-Unis.,0
194,Ich komme aus der Türkei.,Je viens de Turquie.,0
195,Ich komme aus Deutschland.,Je viens d'Allemagne.,0
196,Ich liebe dich!,Je t’aime !,0
197,Ich liebe Hunde.,J’adore les chiens.,0
198,Ich mag Katzen.,J’aime les chats.,0
199,Ich mag meinen Bruder nicht.,Je n’aime pas mon frère.,0
200,Ich möchte...,"J’aimerais, je voudrais...",0
201,Ich spreche Deutsch.,Je parle allemand.,0
202,Ich spreche Deutsch.,Je parle allemand.,0
203,Ich spreche ein bisschen Deutsch.,Je parle un peu allemand.,0
204,Ich spreche Spanisch.,Je parle espagnol.,0
205,Ich suche Arbeit als...,Je cherche un emploi de...,0
206,Ich wohne in Brasilien.,Je vis au Brésil.,0
207,Ich wohne in England.,Je vis en Angleterre.,0
208,Ich wohne in Spanien.,J’habite en Espagne.,0
209,Ich wohne in...,J'habite à...,0
210,Ihnen auch!,Vous aussi !,0
211,ihr,vous (pluriel),0
212,ihr habt,vous avez,0
213,ihr seid,vous êtes (pluriel),0
214,ihr studiert,vous (pluriel) étudiez,0
215,ihr Vater,son père,0
216,ihre Mutter,sa mère,0
217,im Stress,stressé,0
218,in der Nähe von,près de,1
219,Ja,Oui,0
220,Ja,Oui,0
221,Kann ich mit Karte zahlen?,Est-ce que je peux payer par carte ?,0
222,Kein Problem.,Pas de problème.,0
223,klein,petit/petite,0
224,krank,malade,0
225,kurz,petit / petite,0
226,lang,long / longue,0
227,laufen,marcher,0
228,Leider nicht!,J’ai bien peur que non !,0
229,lieber als,plutôt que,0
230,Liebt ihr Katzen?,Adorez-vous les chats ?,0
231,links,gauche,0
232,Machen Sie 20 Euro.,Arrondissez à 20 euros.,1
233,Magst du Kaffee?,Aimes-tu le café ?,0
234,Mein Großvater ist langweilig.,Mon grand-père est ennuyeux.,0
235,Mein Großvater ist lustig.,Mon grand-père est amusant.,0
236,mein Vater,mon père,0
237,Meine Kinder sind freundlich.,Mes enfants sont chaleureux.,0
238,meine Mutter,ma mère,0
239,Meine Tochter ist arrogant.,Ma fille est arrogante.,0
240,Mir geht's gut.,Ça va bien.,0
241,Mir geht’s nicht so gut.,Ça ne va pas très bien.,0
242,Mir geht’s schlecht.,Ça va mal.,0
243,Mir geht’s super!,Ça va super bien !,0
244,Mit Milch und Zucker?,Avec du lait et du sucre ?,0
245,Moin (moin)!,Bonjour ! (Allemagne du nord),0
246,Möchtest du auch...?,Voudrais-tu également... ?,0
247,Möchtest du in ein Café gehen?,Voudrais-tu aller dans un café ?,0
248,müde,fatiguée,0
249,nah,près / proche,0
250,Nein,Non,0
251,"Nein, danke.",Non merci.,0
252,neun,neuf,0
253,neunzig,quatre-vingt-dix,0
254,niedrig,bas / basse,0
255,,zéro,0
256,Oh nein!,Oh non !,0
257,ohne,sans,0
258,pflegen,soigner,0
259,Prost!,Santé !,0
260,rechts,droite,0
261,rechts / links,droite / gauche,0
262,relativ,plutôt,0
263,schmal,étroit,0
264,Schönen Tag!,Bonne journée !,0
265,Schönes Wochenende!,Bon week-end!,0
266,sechs,six,0
267,"sechzehn, siebzehn","seize, dix-sept",0
268,sechzig,soixante,0
269,sehr,très,0
270,sein Bruder,son frère,0
271,seine Schwester,sa sœur,0
272,servieren,servir,0
273,Servus!,Bonjour !/Au revoir ! (Autriche et Allemagne du sud),0
274,sie,ils/elles,0
275,sie haben,ils ont,0
276,sie ist,elle est,0
277,Sie liebt ihn.,Elle l’aime.,0
278,Sie mögen Bier.,Ils aiment la bière.,0
279,sie sind,ils/elles sont,0
280,sie studieren,ils/elles étudient,0
281,sieben,sept,0
282,siebzig,soixante-dix,0
283,Sonst noch etwas?,Autre chose ?,0
284,Sprichst du Englisch?,Tu parles anglais ?,0
285,Stimmt so.,Gardez la monnaie.,0
286,studieren,étudier (à l’université),0
287,suchen,chercher,0
288,teuer,cher,0
289,Tschüss!,Au revoir !,0
290,Tschüss!,Au revoir !,0
291,um,à / vers,0
292,um,à/vers,0
293,um,à / vers,0
294,und,et,0
295,unser Opa,notre grand-père,0
296,unsere Oma,notre grand-mère,0
297,unterrichten,enseigner,0
298,verkaufen,vendre,0
299,vier,quatre,0
300,vierzig,quarante,0
301,vor / hinter,devant / derrière,0
302,Was bist du von Beruf?,Que fais-tu dans la vie ?,0
303,Was darf es sein?,Qu’est-ce que je peux vous servir ?,0
304,Was isst du gern?,Qu’aimes-tu manger ?,0
305,Was isst du?,Que manges-tu ?,0
306,Was ist das?,Qu’est-ce que cela ?,0
307,Was macht das?,Combien est-ce ?,0
308,Was sind Sie von Beruf?,Que faites-vous dans la vie ? (formel),0
309,weit,loin,0
310,weit weg von,loin de,0
311,Weißwurst,saucisse blanche,0
312,Welche Sprachen sprichst du?,Quelles langues parles-tu ?,0
313,wenige,peu,0
314,Wie geht’s?,Comment ça va ?,0
315,Wie heißen Sie?,Comment vous appelez-vous ? (formel),0
316,Wie heißt das auf Deutsch?,Comment est-ce que ça s’appelle en allemand ?,0
317,Wie heißt du?,Comment t’appelles-tu ?,0
318,Wie viel kostet das?,Combien cela coûte-t-il ?,0
319,Wie viel kostet das?,Combien cela coûte-t-il ?,0
320,Wie viel kostet ein Kaffee?,Combien ça coute pour un café ?,0
321,Wie viel kostet eine Apfelschorle?,Combien ça coûte pour une Apfelschorle ?,0
322,wir,nous,0
323,wir haben,nous avons,0
324,Wir lieben Hunde.,Nous adorons les chiens.,0
325,Wir mögen Hunde.,Nous aimons les chiens.,0
326,wir sind,nous sommes,0
327,Wo finde ich ...?,Où puis-je trouver... ?,1
328,Wo ist ... ?,Où se trouve ... ?,0
329,Wo ist …?,Où est... ?,0
330,Wo wohnen Sie?,Où habitez-vous ? (formel),0
331,Wo wohnst du?,Où habites-tu?,0
332,Wo wohnst du?,Où habites-tu?,0
333,Woher kommen Sie?,D’où venez-vous ? (formel),0
334,Woher kommen Sie?,D’où venez-vous ? (formel),0
335,Woher kommst du?,D’où viens-tu ?,0
336,wohnen,vivre / habiter,0
337,"Zahlen, bitte!",L’addition s’il vous plaît !,0
338,"Zahlen, bitte!","Je voudrais payer, s’il vous plaît !",0
339,zehn,dix,0
340,Zum Essen?,Que voulez-vous manger ?,0
341,Zum Trinken?,Que voulez-vous boire ?,0
342,Zum Wohl!,Santé !,0
343,zwanzig,vingt,0
344,zwei,deux,0
345,zwölf,douze,0
346,überqueren,traverser,0
